SeedID,LifecycleStage,WorkDomain,HazardCategory,Hazard,Causes,Consequences,ExistingSafeguards,RecommendedActionsMitigations,SeverityPotential,LikelihoodTypical,AppliesTo
HZ-001,Pre-FEED,Shared,Layout and Congestion,"Field layout congestion or unsafe proximity between assets, pipelines, umbilicals, and future access routes",Immature layout; weak spacing rules; limited intervention input; routing optimized for CAPEX only,Clashes; unsafe installation and intervention; damage exposure; redesign later in lifecycle,Concept reviews; preliminary spacing standards; route corridor screening,Define minimum spacing and crossing rules; reserve intervention corridors; compare options with visual HAZID before concept freeze,High,Medium,"Subsea architecture, manifolds, flowlines, umbilicals, topsides tie-ins"
HZ-002,Pre-FEED,Subsea,Geotechnical and Seabed,Unrecognized geohazard or seabed instability affecting foundations and routing,Incomplete survey coverage; shallow gas; boulders; slope instability; scour; mobile seabed,Foundation instability; free spans; installation delay; integrity failure in service,Desktop studies; preliminary geophysical and geotechnical screening,Flag geohazard zones in model; require survey confidence rating; hold route decisions where subsurface data is weak,High,Medium,"Templates, manifolds, PLETs, PLEMs, pipelines, cables"
HZ-003,Pre-FEED,Offshore,Marine and Vessel Interface,Concept assumes marine execution that is unsafe or impractical,No early vessel strategy; underestimated crane reach or deck load; poor weather assumptions; limited marine input,Offshore campaign delay; collision or dropped object risk; redesign of structures and lifting points,High-level installation philosophy; marine consultation at concept stage,"Add vessel and installation specialist review; capture lift envelopes, access corridors, and vessel assumptions in model metadata",High,Medium,"Heavy lifts, subsea installation spreads, offshore hookup"
HZ-004,Pre-FEED,Shared,Major Accident Hazards,Major hydrocarbon release scenario not designed out at concept stage,Weak isolation philosophy; poor segregation; vulnerable tie-in arrangement; immature leak detection concept,Loss of containment; fire or explosion; environmental release; major redesign later,Conceptual shutdown and isolation philosophy; hazard review workshops,"Compare concepts on escalation potential, segmentation, shutdown, and depressurization; make major accident scenarios mandatory review prompts",Very High,Low,"Processing systems, export systems, tie-ins, brownfield connections"
HZ-005,Pre-FEED,Shared,Human Factors and Maintainability,Unsafe access or poor maintainability designed into equipment and field arrangement,Operability input missing; focus on normal operation only; access envelope not considered,Unsafe interventions; deferred maintenance; high OPEX; procedural workarounds,Maintainability philosophy; operations representative input,Record access constraints and retrieval assumptions in design; add maintainability prompts to all concept HAZIDs,Medium,Medium,"Subsea retrievable equipment, valves, topside skids, access routes"
HZ-006,Pre-FEED,Shared,Future Expansion and Tie-ins,Future tie-in or expansion constraints embedded in initial concept,No future capacity allowance; crowded hubs; routing locked early; no spare control or hydraulic capacity,Unsafe brownfield tie-ins later; higher future CAPEX; operational disruption,Concept option review; high-level growth assumptions,Reserve future tie-in corridors and capacity; tag expansion assumptions and unresolved constraints in model,Medium,Medium,"Tie-ins, spare slots, controls, utility capacity"
HZ-007,Pre-FEED,Shared,Emergency Response,Emergency response assumptions do not fit field concept or marine spread,Weak scenario definition; poor standby vessel assumptions; access or rescue routes not considered,Delayed rescue; escalation during incident; weak evacuation strategy,Emergency response philosophy; conceptual ERP assumptions,"Include emergency access, rescue, and standby assumptions in concept review; recheck for remote or harsh environments",High,Low,"Remote subsea fields, offshore facilities, marine campaigns"
HZ-008,Pre-FEED,Shared,Environmental,Environmental discharge or spill pathways not recognized early,Poor containment concept; chemical handling assumptions; weak drainage and storage philosophy,Pollution event; permit issues; cleanup cost; reputational damage,Environmental design basis; early environmental studies,Add environmental consequence class to early hazards; identify sensitive receptors and spill pathways in design basis,High,Low,"Produced fluids, chemicals, storage, offloading, drilling support"
HZ-009,FEED,Shared,Interfaces,"Interface mismatch between subsea, topsides, controls, and marine packages",Split package ownership; late changes; mismatched tag sets; unclear interface boundaries,Integration failures; commissioning delay; wrong hookups; unsafe operation,Interface registers; coordination meetings; design reviews,"Use FieldTwin as shared interface review context; assign interface owners; create mandatory prompts for mechanical, control, hydraulic, and electrical interfaces",High,Medium,Package interfaces across EPC and operator scopes
HZ-010,FEED,Shared,Isolation and Depressurization,Isolation and depressurization philosophy is inadequate for maintenance or upset conditions,Valve placement gaps; trapped volumes; weak vent or drain concept; poor shutdown logic,Release during maintenance; escalation during upset; unsafe restart,P&IDs; shutdown philosophy; discipline reviews,Review intrusive maintenance scenarios early; tag isolation points and trapped inventory risks against systems and line segments,Very High,Medium,"Process systems, subsea tie-ins, utility systems"
HZ-011,FEED,Shared,Control Systems,Control system failure modes or alarm philosophy are not adequately understood,Incomplete cause and effect; poor redundancy; weak communications assumptions; package integration issues,Missed leak or upset; spurious trips; unstable operations; startup problems,Control narratives; F&G concept; shutdown philosophy,"Add controls-specific HAZID prompts; track unresolved alarm, trip, and fail-safe assumptions as actions before IFC",High,Medium,"SCADA, subsea controls, ESD, F&G, communications"
HZ-012,FEED,Shared,Chemicals and Materials,Chemical selection or material compatibility issue creates safety or integrity risk,Incorrect chemical assumptions; incompatible elastomers or metallurgy; wrong injection point; handling gaps,Exposure to personnel; corrosion; plugging; release; environmental impact,Chemical management process; materials reviews; SDS controls,"Add chemical and compatibility prompts by system; link storage, dosing, and handling assumptions to affected assets",High,Medium,"Flow assurance systems, inhibition systems, utility chemicals"
HZ-013,FEED,Offshore,SIMOPS,"SIMOPS conflict between drilling, construction, lifting, energization, or marine operations",Campaign overlap; shared deck or sea space; weak permit and schedule integration,Collision; dropped objects; work stoppage; personnel exposure; emergency complexity,SIMOPS plan; PTW; marine coordination meetings,Create scenario-based SIMOPS hazards and exclusion zones; force review of concurrent activities during FEED and campaign planning,High,Medium,"Brownfield projects, offshore hook-up, drilling overlap"
HZ-014,FEED,Shared,Environmental and Metocean,Environmental or metocean loading assumptions are inadequate,Outdated data; weak fatigue basis; poor extreme event assumptions; incomplete seasonal planning,Overstress; installation abort; accelerated damage; downtime,Design basis documents; metocean studies,Tag metocean basis to affected assets and routes; flag low-confidence assumptions; trigger re-review when basis changes,High,Low,"Moorings, flexible risers, structures, campaigns"
HZ-015,FEED,Shared,Temporary Systems,"Temporary construction, testing, or commissioning systems introduce unmanaged risk","Temporary hoses, jumpers, bypasses, generators, or controls not fully reviewed","Unexpected release, trip, overload, or personnel exposure",Temporary equipment procedures; review gates,Treat temporary systems as first-class review objects; require explicit hazard review and ownership before use,High,Medium,"Commissioning packages, temporary power, bypasses, hoses"
HZ-016,FEED,Shared,Human Factors,"Procedures, alarms, controls, or access arrangements are vulnerable to human error",Poor labeling; dense interfaces; weak visibility; ergonomic issues; excessive manual steps,Wrong operation; delayed response; maintenance errors; nuisance trips,Procedures; HMI reviews; labeling standards,Include human factors prompts in FEED; require critical task walkthroughs and positive identification points,Medium,Medium,"Control rooms, local panels, valve lineups, intervention tasks"
HZ-017,Detailed Design / Procurement / Fabrication,Shared,Management of Change,Late design change introduces new hazards without structured reassessment,Vendor deviation; procurement substitution; route change; schedule pressure; poor MOC discipline,Hidden incompatibility; unsafe installation or operation; offshore rework,Document revision control; change approval workflow,Trigger HAZID re-review for defined change classes; visually highlight changed objects and unresolved hazards before issue status advances,High,Medium,All systems and packages
HZ-018,Detailed Design / Procurement / Fabrication,Shared,Vendor Packages,Vendor package assumptions conflict with project design intent,Incomplete requisition; black-box design; missing limits or interlocks; late clarifications,Integration failure; unsafe operating envelope; commissioning delay,Vendor document review; FAT; interface meetings,Capture vendor assumptions as hazards; link package constraints and design limits to assets and systems in model,High,Medium,"Compressors, pumps, umbilicals, control systems, skids"
HZ-019,Detailed Design / Procurement / Fabrication,Offshore,Lifting and Transportation,"Fabrication, loadout, transport, or lifting damages equipment or creates major lifting risk",Weak lift point design; sea fastening issues; weather exposure; rushed execution; poor transport analysis,Dropped object; latent equipment damage; schedule slip; offshore failure,Lift studies; transport procedures; inspections; preservation plans,Review logistics hazards for large structures; store handling limits and protected zones as metadata; verify transport and installation assumptions remain aligned,High,Medium,"Modules, subsea structures, reels, umbilicals, valves"
HZ-020,Detailed Design / Procurement / Fabrication,Subsea,Subsea Structural Integrity,"Detailed design misses local overstress, fatigue hotspot, or unsupported span risk",Load cases omitted; interface loads uncertain; installation loads underestimated; span growth not managed,Premature failure; integrity intervention; shutdown,Structural analysis; fatigue checks; design reviews,Track analysis assumptions and weak points as linked findings; require closure evidence before fabrication release,High,Low,"Pipelines, jumpers, manifolds, supports, clamps"
HZ-021,Detailed Design / Procurement / Fabrication,Shared,Quality and Traceability,Critical equipment or materials lack manufacturing or inspection traceability,Poor data handover; missing certs; inconsistent serial tracking; supplier quality escape,Latent failure; inability to verify fitness for service; rework,ITPs; QA/QC process; certification requirements,Link traceability records and inspection status to critical assets; flag incomplete records before shipment or installation,Medium,Medium,"Pressure-containing equipment, safety-critical elements"
HZ-022,Detailed Design / Procurement / Fabrication,Shared,Preservation and Storage,Stored equipment degrades before installation or startup,Poor preservation; wrong storage conditions; moisture ingress; expired consumables or seals,Latent failure at startup; leak; control issue; replacement cost,Preservation plans; warehouse controls; receiving inspections,Treat storage condition and preservation expiry as tracked risks for long-lead or critical equipment,Medium,Medium,"Instruments, valves, subsea electronics, elastomers"
HZ-023,Detailed Design / Procurement / Fabrication,Offshore,Constructability,"Detailed design is difficult or unsafe to fabricate, assemble, or install",Design tolerance stack-up; inaccessible welds; weak rigging arrangement; poor sequence planning,Unsafe workarounds; quality issues; delay; added offshore scope,Constructability reviews; fabrication input; 3D model checks,Run formal constructability review against the design model; capture fabrication and installation sequence hazards as actions,Medium,Medium,"Modules, pipe racks, subsea structures, brownfield modifications"
HZ-024,Detailed Design / Procurement / Fabrication,Shared,Cyber and Communications,Control or communications architecture introduces resilience or security weakness,Unclear network boundaries; shared access; weak failover; unmanaged remote connectivity,Loss of monitoring or control; unstable operation; delayed incident response,Network standards; access control; redundancy philosophy,Add cyber-resilience and comms failure prompts for critical control interfaces; record fallback operating mode assumptions,High,Low,"SCADA, remote ops, subsea comms, offshore control networks"
HZ-025,Installation / Hook-up / Commissioning,Offshore,Marine Collision,Construction or support vessel collides with offshore structure or subsea infrastructure,DP failure; watchkeeping failure; congested worksite; bad weather; poor marine coordination,Structural damage; hydrocarbon release; injury; campaign shutdown,Marine procedures; exclusion zones; DP trials; bridge watch protocols,Display vessel approach and standby zones in model; require collision-risk review for each campaign spread and nearby assets,Very High,Low,"Platforms, FPSOs, jackets, subsea fields, support vessels"
HZ-026,Installation / Hook-up / Commissioning,Offshore,Dropped Objects,"Load or equipment is dropped during lifting, overboarding, or subsea deployment",Rigging failure; crane overload; poor weather; weak lift planning; human error,Fatality; equipment damage; line or umbilical damage; delay,Lift plans; certified rigging; toolbox talks; weather criteria; exclusion zones,Create dropped-object hazards by campaign and lift; identify vulnerable lines and equipment under lift paths,High,Medium,"Heavy lifts, deployment frames, subsea modules, deck lifts"
HZ-027,Installation / Hook-up / Commissioning,Shared,Wrong Hookup or Energization,"Line, cable, control, or jumper is connected, lined up, or energized incorrectly",Tag confusion; poor as-built visibility; interface mismatch; rushed handover,Equipment damage; loss of control; startup failure; unsafe pressurization,Checklists; labeling; verification steps; PTW,Require positive identification and model-linked verification before hookup or energization; make redline and as-built validation mandatory,High,Medium,"Electrical tie-ins, jumpers, valves, controls, umbilicals"
HZ-028,Installation / Hook-up / Commissioning,Shared,Commissioning Readiness,"Commissioning proceeds on incomplete, impaired, or unsafe system",Schedule pressure; weak punch-list discipline; open overrides; unresolved hazards,"Trip, release, equipment damage, unsafe manual intervention",Commissioning procedures; readiness reviews; punch lists,"Show critical open HAZID actions by system before startup; require explicit sign-off for overrides, bypasses, and temporary arrangements",High,Medium,"System turnover, energization, startup"
HZ-029,Installation / Hook-up / Commissioning,Subsea,Subsea Deployment and Landing,"Subsea structure, jumper, or tool lands out of tolerance or on wrong target",Survey mismatch; poor visibility; vessel motion; inadequate guide features; weak communication,Damage to connectors or structures; leak path; retrieval campaign; delay,Survey controls; landing procedures; ROV support; installation aids,"Track landing tolerances, no-contact zones, and critical mating surfaces as visible review objects in campaign planning",High,Medium,"Trees, manifolds, jumpers, caps, flying leads"
HZ-030,Installation / Hook-up / Commissioning,Shared,Pressure Testing,Pressure testing creates unsafe stored-energy or release scenario,Incorrect test boundary; trapped air; wrong test medium; poor exclusion control; weak reinstatement,"Release, injury, equipment damage, false acceptance, startup problems",Test packs; procedures; boundary checks; barriers and exclusion zones,"Treat each test boundary as a review object; force review of stored energy, venting, drains, and reinstatement steps",High,Medium,"Hydrotest, leak test, pneumatic test, FAT/SAT"
HZ-031,Installation / Hook-up / Commissioning,Offshore,Weather and Exposure,Weather window or environmental exposure assumptions fail during offshore campaign,Rapid weather change; underestimated sea state; poor contingency; vessel limits exceeded,Unsafe lifting or transfer; aborted operation; equipment damage; personnel exposure,Weather criteria; forecast process; go/no-go authority,Capture campaign-specific weather limits and contingency triggers in planning; tie them to lift and deployment tasks,Medium,Medium,"Marine operations, transfers, lifts, ROV spread"
HZ-032,Installation / Hook-up / Commissioning,Shared,Permit and Work Control,PTW or work control breakdown during high-activity offshore execution,Too many concurrent permits; weak handover; poor area authority; copy-paste risk assessments,Conflicting work; line of fire exposure; isolation conflict; emergency confusion,PTW system; toolbox talks; SIMOPS meetings; supervision,Add explicit SIMOPS and PTW conflict review for critical campaign periods; keep live list of high-risk concurrent tasks,High,Medium,"Hook-up, brownfield works, shutdown windows"
HZ-033,Start-up / Early Operations,Shared,Loss of Containment,Hydrocarbon or hazardous fluid release during startup or ramp-up,Immature operating windows; wrong line-up; seal failure; instrumentation issues; overpressure,Fire or explosion; toxic exposure; environmental impact; production loss,Startup procedures; leak detection; shutdown systems; supervision,Use startup-specific hazard prompts and barrier checks; focus on temporary impairments and unresolved punch items before ramp-up,Very High,Medium,"Process systems, export, injection, utilities"
HZ-034,Start-up / Early Operations,Shared,Barrier Impairment,"Existing safeguards are bypassed, unavailable, or degraded without sufficient control",Overrides; delayed maintenance; alarm flood; poor impairment process; test backlog,Small upset escalates; weakened emergency response; latent major accident risk,Maintenance system; impairment register; audit and verification processes,Add safeguard effectiveness and impairment status fields to each finding; trigger review when critical barriers are degraded,Very High,Medium,"Safety-critical elements, alarms, shutdowns, relief, F&G"
HZ-035,Start-up / Early Operations,Shared,Operating Procedure Gaps,Operations team starts up with incomplete or unrealistic procedures,Late handover; weak procedure validation; vendor dependence; poor scenario testing,Wrong line-up; unstable operation; manual workarounds; near misses,Operating procedures; startup training; shift supervision,Link hazards to critical tasks and procedures; require field validation and abnormal scenario walkthroughs before handover closeout,High,Medium,"Control room, local operations, startup and shutdown"
HZ-036,Start-up / Early Operations,Shared,Alarm and Trip Management,Alarm overload or nuisance trips reduce operator response quality,Poor rationalization; temporary alarms left active; bad thresholds; commissioning leftovers,Missed critical condition; unstable plant; operator error; production disruption,Alarm management process; control narratives; historian and tuning,Track alarm-related hazards as startup actions; focus on bad actor alarms and high-consequence trip paths,Medium,High,"Control systems, F&G, process alarms"
HZ-037,Start-up / Early Operations,Subsea,Flow Assurance and Hydrate Risk,"Startup or transient operation causes hydrate, wax, slugging, or thermal upset",Procedure mismatch; wrong chemical dose; temperature or pressure transient; blocked line,Loss of flow; overpressure; intervention campaign; equipment damage,Flow assurance design basis; chemical injection; operating envelopes,Link flow assurance assumptions to systems and startup procedures; treat envelope excursions as hazard review triggers,High,Medium,"Subsea production, injection, export systems"
HZ-038,Start-up / Early Operations,Offshore,Personnel Exposure,"High manual workload during startup exposes personnel to line-of-fire, chemicals, noise, or hot work conflicts",Frequent local interventions; temporary works; incomplete remote control; weak coordination,Injury; exposure; procedural deviation; delayed startup,PPE; PTW; toolbox talks; supervision; area controls,Review manual intervention hotspots during startup; reduce need for repeated local actions or improve controls and access,Medium,Medium,"Platforms, modules, local valve or panel operations"
HZ-039,Start-up / Early Operations,Shared,Data and Handover Quality,"As-built, tag, or operating data quality is too poor for safe routine operation",Incomplete redlines; inconsistent tag mapping; poor document turnover; metadata gaps,Wrong maintenance action; wrong isolation; wrong troubleshooting; unsafe decisions,Turnover process; document control; walkdowns,Make as-built and tag validation a tracked startup hazard; prevent closeout until critical metadata gaps are resolved,High,Medium,"CMMS, control systems, digital twin, drawings, procedures"
HZ-040,Start-up / Early Operations,Shared,Emergency Preparedness,Emergency response arrangements are not validated for actual operating condition,ERP based on design assumptions only; weak drills; changed marine spread or occupancy,Slow response; ineffective muster or rescue; escalation,ERP; drills; standby vessel; communications plan,Re-run emergency scenario review at startup and after key scope changes; tie scenarios to real layout and occupancy,High,Low,"Operating facilities, remote fields, campaign transitions"
HZ-041,Operations / IMR / Brownfield,Shared,Integrity Degradation,"Corrosion, erosion, fatigue, or mechanical degradation leads to failure in service",Aging equipment; upset conditions; poor inhibitor performance; vibration; external damage,Leak; production loss; major repair; environmental incident,Integrity management; inspection and monitoring; corrosion control,Use the module for recurring hazard review on degraded barriers and overdue integrity actions; link findings to affected assets and circuits,Very High,Medium,"Piping, pipelines, valves, structures, pressure equipment"
HZ-042,Operations / IMR / Brownfield,Shared,Maintenance Isolation Failure,"Intrusive work exposes personnel to trapped pressure, hazardous energy, or residual inventory",Poor line-up; hidden sources; non-return valves; inadequate venting or draining; weak reinstatement,Release; injury or fatality; ignition; extended shutdown,Isolation procedures; PTW; LOTO; gas testing; supervision,"Prompt for trapped pressure, residual fluids, hidden sources, and reinstatement steps; link isolation hazards to specific equipment and lines",Very High,Medium,"Maintenance, sampling, opening equipment, brownfield works"
HZ-043,Operations / IMR / Brownfield,Subsea,ROV / IMR Damage,Intervention activity damages subsea equipment or connectors,Poor visibility; inaccurate position data; weak tooling interface; vessel motion; human error,"Damage to valves, jumpers, connectors, or umbilicals; release risk; extra campaign cost",IMR procedures; qualified tooling; survey data; training,Model intervention envelopes and no-contact zones; preserve prior design-stage findings as prompts for IMR campaigns,High,Medium,"ROV tasks, valve ops, connector work, inspection campaigns"
HZ-044,Operations / IMR / Brownfield,Subsea,External Aggression,"Anchor, trawl, dropped object, or third-party activity damages subsea infrastructure",Insufficient protection; poor charting; marine encroachment; fishing activity,Leak; outage; repair campaign; environmental release,Burial and protection; exclusion zones; notifications; monitoring,Flag high-exposure corridors and protection status in model; maintain area-based external aggression hazards and inspections,High,Low,"Pipelines, umbilicals, cables, risers"
HZ-045,Operations / IMR / Brownfield,Shared,Brownfield Tie-in,Tie-in or modification to live system creates unmanaged interaction with existing operations,Weak isolation; incomplete as-built understanding; SIMOPS; unknown condition of legacy equipment,Release; startup delay; hidden damage; prolonged outage,Shutdown planning; isolation studies; brownfield procedures; SIMOPS controls,Run dedicated brownfield tie-in HAZID; show changed objects and nearby live systems visually; require readiness review before cut-in,Very High,Medium,"Live modifications, hot taps, tie-ins, shutdown scopes"
HZ-046,Operations / IMR / Brownfield,Offshore,Marine Logistics and Personnel Transfer,Routine marine logistics or personnel transfer creates collision or transfer risk,Poor approach planning; weather exposure; inadequate communication; deck congestion,Injury; dropped loads; vessel contact; evacuation complications,Transfer procedures; marine standards; weather criteria; deck management,Track high-risk marine interfaces as recurring operational hazards; include attendant vessel and transfer scenarios in reviews,High,Medium,"Crew change, resupply, standby, support vessels"
HZ-047,Operations / IMR / Brownfield,Shared,Environmental Release,"Operational spill, vent, or discharge occurs during routine work or upset",Hose failure; leak; overfill; poor containment; maintenance error; chemical mishandling,Pollution event; regulatory action; cleanup and downtime,Environmental procedures; bunding; spill kits; leak detection; response plans,Add environmental consequence and spill pathway fields to hazards; track prevention and response readiness actions by area,High,Medium,"Chemicals, fuel, produced water, drains, transfer systems"
HZ-048,Operations / IMR / Brownfield,Shared,Organizational / Competency Drift,"Competence, supervision, or organizational change weakens hazard control over time",Turnover; contractor changes; unclear accountability; poor learning capture; workload pressure,Procedure drift; missed warning signs; poor response to abnormal situations; repeated incidents,Training; competence system; audits; shift handover; lessons learned,"Reassess hazards after major staffing, contractor, or organizational changes; keep ownership and action accountability explicit",High,Medium,"Operations, maintenance, campaigns, control room, offshore supervision"
HZ-049,FEED,Subsea,Piping and Pipelines,Pipeline walking and thermal expansion overstresses tie-ins,Thermal cycling during production shutdowns; inadequate seabed friction; poor expansion loop design,Jumper rupture; pipeline buckle; loss of containment; connector fatigue,Expansion spools; rock dumping; engineered anchors,Conduct thermal walking analysis; specify and install engineered buckle triggers or sleepers; monitor expansion behavior post-startup,High,Medium,"Flowlines, jumpers, PLETs"
HZ-050,Detailed Design,Subsea,Flow Assurance,Severe terrain-induced slugging overloads topside facilities,Low flow rates during late life; undulating pipeline profile; inadequate liquid management,Topside separator overflow; process trip; flaring event; mechanical fatigue on risers,Slug catchers; dynamic process simulation; active choke controls,Size topside receiving facilities for maximum expected slug volume; implement automated active choke control sequences,High,Medium,"Risers, flowlines, topside separators"
HZ-051,Detailed Design,Offshore,Structural Integrity,Vortex-Induced Vibration (VIV) causes rapid fatigue failure of risers or pipeline spans,Ocean currents passing over unsupported sections; insufficient structural damping,Premature riser failure; catastrophic loss of containment; subsea span collapse,VIV strakes; fairings; span correction; fatigue analysis,Apply VIV suppression devices to exposed risers; ensure max allowable free spans are documented and corrected during lay,Very High,Low,"Risers, free-spanning pipelines, tubular structures"
HZ-052,Installation / Hook-up / Commissioning,Subsea,Umbilical and Cable Lay,Umbilical crushing or over-bending during deployment,Excessive tension on lay chute; incorrect bend radius controls; vessel heave,Damage to internal steel tubes; loss of electrical continuity; fluid leak; complete functional failure,Tension limiters; lay analysis; bend restrictors; deck handling procedures,Enforce strict lay tension monitoring; utilize bend stiffeners at critical transition points; perform continuous continuity checks during lay,High,Medium,"Umbilicals, power cables, flying leads"
HZ-053,Installation / Hook-up / Commissioning,Offshore,Mooring and Station Keeping,Mooring line failure during vessel hookup or early operations,Chain fatigue; incorrect tensioning during installation; extreme weather conditions prior to full securement,Vessel drift; riser rupture; collision with adjacent facilities,Tension load cells; chain inspections; weather window forecasting,Monitor line tensions continuously during hookup; establish strict go/no-go weather limits for heading adjustments,Very High,Low,"FPSOs, semi-submersibles, offloading buoys"
HZ-054,Operations / IMR / Brownfield,Subsea,Control Systems,Hydraulic fluid contamination leads to Subsea Control Module (SCM) failure,Poor cleanliness during make-up; water ingress through degraded seals; particulate generation,Directional control valve sticking; inability to operate subsea tree; loss of well control,Fluid cleanliness standards (NAS 1638/ASNT); subsea filters; fluid sampling,Perform routine topside hydraulic fluid sampling and flushing; design SCMs with internal redundant filtration,High,Medium,"SCMs, umbilicals, subsea distribution units"
HZ-055,Operations / IMR / Brownfield,Offshore,Process Safety,Gas blow-by from High Pressure (HP) to Low Pressure (LP) separator,Failure of liquid level control valve in open position; open manual bypass valves,LP system overpressure; rupture of downstream vessels; lifting of multiple relief valves,Independent high-level trips; bursting discs; PSVs on LP system,Maintain rigorous testing schedule for safety-critical level transmitters; size LP relief systems for full blow-by scenarios,Very High,Low,"Separators, process vessels, relief systems"
HZ-056,Pre-FEED,Offshore,Power Generation,Insufficient topside power allocation for future subsea boosting/compression,Weak initial load list estimation; failure to account for late-life reservoir pressure drop,Deferred production; requirement for expensive brownfield power module integration,Phased power generation philosophy; electrical load flow studies,Allocate physical deck space and weight capacity for future power modules; pre-invest in switchgear expansion slots,Medium,High,"Topside generators, electrical switchrooms, subsea power hubs"
HZ-057,FEED,Subsea,Corrosion and Materials,Internal pipeline corrosion driven by sour gas (H2S/CO2) or high water cut,Material selection mismatch; continuous failure of chemical inhibitor injection,Rapid wall thickness loss; localized pitting; pipeline rupture,Corrosion Resistant Alloy (CRA) cladding; chemical injection skids; corrosion coupons,Specify CRA materials for high-risk segments; implement reliable subsea chemical injection and regular intelligent pigging,Very High,Medium,"Flowlines, manifolds, production headers"
HZ-058,Detailed Design,Subsea,Geohazards,Seabed scour compromises subsea foundation stability,Strong bottom currents mobilizing loose seabed soils around skirts or mudmats,Foundation settlement; structural tilt; excessive stress transferred to connected jumpers,Scour protection mats; rock dumping; geotechnical modeling,Install targeted scour protection immediately post-installation; perform periodic ROV visual surveys of foundation perimeters,High,Medium,"Manifolds, PLETs, templates, jacket legs"
HZ-059,Installation / Hook-up / Commissioning,Shared,Pre-Commissioning,Microbiologically Influenced Corrosion (MIC) from stagnant hydrotest water,Delayed dewatering schedule; inadequate application of biocide or oxygen scavengers,Rapid internal pitting; premature pipeline failure before production begins,Treated test water; strict dewatering/drying schedules; preservation fluids,Execute dewatering and nitrogen purging immediately following hydrotest acceptance; inject properly dosed biocide if water must remain,High,Medium,"Pipelines, flowlines, topside piping"
HZ-060,Operations / IMR / Brownfield,Offshore,Utility Systems,Complete loss of instrument air supply to offshore facility,Air compressor trip; catastrophic rupture of main air distribution header,Fail-safe closure of critical production valves; total facility shutdown; flare event,Redundant air compressors; large capacity air receivers; cross-tie with nitrogen buffer,Ensure N+1 redundancy for air compressors; conduct regular leak testing of the air distribution network,High,Medium,"Topside utility systems, control valves, pneumatic panels"